antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedents1,consequents1
frozenset({1120224}),frozenset({1683136}),0.6369333333333334,0.49146666666666666,0.3479333333333333,0.5462633451957295,1.111496225981544,0.034901831111111115,1.120767581699346,1120224,1683136
frozenset({1683136}),frozenset({1120224}),0.49146666666666666,0.6369333333333334,0.3479333333333333,0.7079489962018448,1.111496225981544,0.034901831111111115,1.2431618516798266,1683136,1120224
frozenset({1120224}),frozenset({1688064}),0.6369333333333334,0.8699333333333333,0.5567333333333333,0.8740841532342474,1.0047714229836546,0.002643795555555495,1.032965031864782,1120224,1688064
frozenset({1688064}),frozenset({1120224}),0.8699333333333333,0.6369333333333334,0.5567333333333333,0.6399724116790558,1.0047714229836546,0.002643795555555495,1.0084412374059881,1688064,1120224
frozenset({1120224}),frozenset({1688960}),0.6369333333333334,0.7210333333333333,0.4662,0.7319447351894495,1.0151330061339505,0.006949835555555561,1.0407057920083302,1120224,1688960
frozenset({1688960}),frozenset({1120224}),0.7210333333333333,0.6369333333333334,0.4662,0.6465720493735843,1.0151330061339505,0.006949835555555561,1.027272081970787,1688960,1120224
frozenset({1120224}),frozenset({1708336}),0.6369333333333334,0.43146666666666667,0.30716666666666664,0.4822587397948503,1.117719576162354,0.032351164444444414,1.0981031975470872,1120224,1708336
frozenset({1708336}),frozenset({1120224}),0.43146666666666667,0.6369333333333334,0.30716666666666664,0.7119128553770085,1.1177195761623537,0.032351164444444414,1.260266809689818,1708336,1120224
frozenset({1120224}),frozenset({1709008}),0.6369333333333334,0.7364333333333334,0.5156,0.8095038727234665,1.099222205300502,0.04654106222222215,1.383580183150182,1120224,1709008
frozenset({1709008}),frozenset({1120224}),0.7364333333333334,0.6369333333333334,0.5156,0.7001312632960665,1.099222205300502,0.04654106222222215,1.210751979874213,1709008,1120224
frozenset({1120224}),frozenset({2118368}),0.6369333333333334,0.5371,0.3716,0.5834205568348335,1.0862419602212503,0.029503106666666612,1.1111926130653265,1120224,2118368
frozenset({2118368}),frozenset({1120224}),0.5371,0.6369333333333334,0.3716,0.691863712530255,1.0862419602212503,0.029503106666666612,1.178266505538771,2118368,1120224
frozenset({1120224}),frozenset({2118592}),0.6369333333333334,0.5501666666666667,0.3842,0.603202846975089,1.0964002065587803,0.03378051111111108,1.133660687593423,1120224,2118592
frozenset({2118592}),frozenset({1120224}),0.5501666666666667,0.6369333333333334,0.3842,0.698333838230839,1.0964002065587801,0.03378051111111108,1.2035379259556802,2118592,1120224
frozenset({1120224}),frozenset({2165968}),0.6369333333333334,0.43833333333333335,0.3327333333333333,0.5223989951852627,1.191784779890333,0.053544222222222215,1.1760165096062531,1120224,2165968
frozenset({2165968}),frozenset({1120224}),0.43833333333333335,0.6369333333333334,0.3327333333333333,0.7590874524714828,1.191784779890333,0.053544222222222215,1.5070475589225583,2165968,1120224
frozenset({1120560}),frozenset({1688064}),0.3655333333333333,0.8699333333333333,0.32763333333333333,0.896315885464162,1.0303270964796098,0.009643702222222217,1.254451245968924,1120560,1688064
frozenset({1688064}),frozenset({1120560}),0.8699333333333333,0.3655333333333333,0.32763333333333333,0.3766188979998467,1.0303270964796098,0.009643702222222217,1.0177829655582191,1688064,1120560
frozenset({1120560}),frozenset({1709008}),0.3655333333333333,0.7364333333333334,0.3050333333333333,0.8344884187488602,1.1331486245627937,0.03584240222222218,1.5924364003673095,1120560,1709008
frozenset({1709008}),frozenset({1120560}),0.7364333333333334,0.3655333333333333,0.3050333333333333,0.41420359389851985,1.1331486245627937,0.03584240222222218,1.0830839179930973,1709008,1120560
frozenset({1650992}),frozenset({1124256}),0.6576333333333333,0.4293666666666667,0.3097666666666667,0.47103249024278987,1.0970401915444217,0.027400834444444466,1.0787682094033475,1650992,1124256
frozenset({1124256}),frozenset({1650992}),0.4293666666666667,0.6576333333333333,0.3097666666666667,0.7214501979659965,1.0970401915444217,0.027400834444444466,1.2291039669267936,1124256,1650992
frozenset({1681904}),frozenset({1124256}),0.6661333333333334,0.4293666666666667,0.3001666666666667,0.4506104883907126,1.049477109830089,0.01415121777777778,1.038668051127911,1681904,1124256
frozenset({1124256}),frozenset({1681904}),0.4293666666666667,0.6661333333333334,0.3001666666666667,0.69909168542815,1.049477109830089,0.01415121777777778,1.1095295493636053,1124256,1681904
frozenset({1688064}),frozenset({1124256}),0.8699333333333333,0.4293666666666667,0.3891,0.44727565330676683,1.0417102398263338,0.01557962444444444,1.0324012986712883,1688064,1124256
frozenset({1124256}),frozenset({1688064}),0.4293666666666667,0.8699333333333333,0.3891,0.9062184612995885,1.0417102398263336,0.01557962444444444,1.386911203090507,1124256,1688064
frozenset({1688960}),frozenset({1124256}),0.7210333333333333,0.4293666666666667,0.3247333333333333,0.45037215107946926,1.0489220194382485,0.015145654444444434,1.0382176493677628,1688960,1124256
frozenset({1124256}),frozenset({1688960}),0.4293666666666667,0.7210333333333333,0.3247333333333333,0.7563077400822917,1.0489220194382485,0.015145654444444434,1.1447498035467771,1124256,1688960
frozenset({1124256}),frozenset({1709008}),0.4293666666666667,0.7364333333333334,0.34126666666666666,0.794814067230805,1.0792749747396981,0.02506674111111107,1.284526005801488,1124256,1709008
frozenset({1709008}),frozenset({1124256}),0.7364333333333334,0.4293666666666667,0.34126666666666666,0.46340469832073505,1.0792749747396981,0.02506674111111107,1.0634333389568396,1709008,1124256
frozenset({1650992}),frozenset({1379840}),0.6576333333333333,0.5256666666666666,0.3779666666666667,0.5747376957777891,1.0933500870852044,0.0322707444444445,1.1153900278108864,1650992,1379840
frozenset({1379840}),frozenset({1650992}),0.5256666666666666,0.6576333333333333,0.3779666666666667,0.7190234622701333,1.0933500870852044,0.0322707444444445,1.2184884525690218,1379840,1650992
frozenset({1681904}),frozenset({1379840}),0.6661333333333334,0.5256666666666666,0.3856,0.5788630904723778,1.1011980161173962,0.03543591111111111,1.1263162230671735,1681904,1379840
frozenset({1379840}),frozenset({1681904}),0.5256666666666666,0.6661333333333334,0.3856,0.7335447051363349,1.1011980161173962,0.03543591111111111,1.2529931778518166,1379840,1681904
frozenset({1683024}),frozenset({1379840}),0.5378666666666667,0.5256666666666666,0.3215,0.5977317798710956,1.137092796203733,0.03876142222222223,1.1791469213783186,1683024,1379840
frozenset({1379840}),frozenset({1683024}),0.5256666666666666,0.5378666666666667,0.3215,0.6116043119847813,1.137092796203733,0.03876142222222223,1.1898518639455782,1379840,1683024
frozenset({1683136}),frozenset({1379840}),0.49146666666666666,0.5256666666666666,0.30793333333333334,0.6265599565925122,1.191933969421393,0.049585688888888924,1.270172660128345,1683136,1379840
frozenset({1379840}),frozenset({1683136}),0.5256666666666666,0.49146666666666666,0.30793333333333334,0.5857958148383007,1.191933969421393,0.049585688888888924,1.2277358644621352,1379840,1683136
frozenset({1683696}),frozenset({1379840}),0.6106333333333334,0.5256666666666666,0.3543,0.5802172607675091,1.1037741168690727,0.033310411111111105,1.1299495882097963,1683696,1379840
frozenset({1379840}),frozenset({1683696}),0.5256666666666666,0.6106333333333334,0.3543,0.6740012682308181,1.1037741168690727,0.033310411111111105,1.1943809245931403,1379840,1683696
frozenset({1379840}),frozenset({1683808}),0.5256666666666666,0.5381,0.31856666666666666,0.6060240963855422,1.1262295045261888,0.03570543333333337,1.1724067278287462,1379840,1683808
frozenset({1683808}),frozenset({1379840}),0.5381,0.5256666666666666,0.31856666666666666,0.5920213095459332,1.126229504526189,0.03570543333333337,1.1626424233221988,1683808,1379840
frozenset({1684256}),frozenset({1379840}),0.5889,0.5256666666666666,0.3348333333333333,0.568574177845701,1.0816249420019677,0.025268233333333334,1.0994551298871686,1684256,1379840
frozenset({1379840}),frozenset({1684256}),0.5256666666666666,0.5889,0.3348333333333333,0.6369689283449588,1.0816249420019677,0.025268233333333334,1.1324099563318777,1379840,1684256
frozenset({1379840}),frozenset({1685040}),0.5256666666666666,0.5440333333333334,0.3169,0.6028535193405201,1.1081187170035907,0.03091981111111114,1.148107030709458,1379840,1685040
frozenset({1685040}),frozenset({1379840}),0.5440333333333334,0.5256666666666666,0.3169,0.5825010722382207,1.1081187170035904,0.03091981111111114,1.1361306623618042,1685040,1379840
frozenset({1379840}),frozenset({1687392}),0.5256666666666666,0.6092333333333333,0.3500666666666667,0.6659480025364618,1.0930918682548478,0.029813011111111176,1.1697779676031392,1379840,1687392
frozenset({1687392}),frozenset({1379840}),0.6092333333333333,0.5256666666666666,0.3500666666666667,0.574601958745965,1.0930918682548478,0.029813011111111176,1.1150341264737411,1687392,1379840
frozenset({1687504}),frozenset({1379840}),0.6021666666666666,0.5256666666666666,0.34546666666666664,0.5737060614447828,1.0913875614041524,0.02892772222222223,1.1126907760896856,1687504,1379840
frozenset({1379840}),frozenset({1687504}),0.5256666666666666,0.6021666666666666,0.34546666666666664,0.6571972098922004,1.0913875614041524,0.02892772222222223,1.1605311999013446,1379840,1687504
frozenset({1688064}),frozenset({1379840}),0.8699333333333333,0.5256666666666666,0.4812,0.5531458349298797,1.0522748920669875,0.023905044444444523,1.0614947121705827,1688064,1379840
frozenset({1379840}),frozenset({1688064}),0.5256666666666666,0.8699333333333333,0.4812,0.915409004438808,1.0522748920669875,0.023905044444444523,1.5375947026486785,1379840,1688064
frozenset({1688960}),frozenset({1379840}),0.7210333333333333,0.5256666666666666,0.41413333333333335,0.5743608709722159,1.0926332358380773,0.03511014444444449,1.1144025560262123,1688960,1379840
frozenset({1379840}),frozenset({1688960}),0.5256666666666666,0.7210333333333333,0.41413333333333335,0.7878249841471149,1.0926332358380773,0.03511014444444449,1.3147950787009373,1379840,1688960
frozenset({1379840}),frozenset({1709008}),0.5256666666666666,0.7364333333333334,0.4478666666666667,0.8519974635383641,1.156924089356399,0.06074821111111117,1.7808253356183963,1379840,1709008
frozenset({1709008}),frozenset({1379840}),0.7364333333333334,0.5256666666666666,0.4478666666666667,0.6081564296383469,1.1569240893563988,0.06074821111111117,1.2105170767394402,1709008,1379840
frozenset({1902656}),frozenset({1379840}),0.6296,0.5256666666666666,0.35886666666666667,0.56999152901313,1.0843212346476792,0.027906933333333328,1.103079044570303,1902656,1379840
frozenset({1379840}),frozenset({1902656}),0.5256666666666666,0.6296,0.35886666666666667,0.6826886493341789,1.0843212346476794,0.027906933333333328,1.1673077537969627,1379840,1902656
frozenset({2118368}),frozenset({1379840}),0.5371,0.5256666666666666,0.3454333333333333,0.6431452864146961,1.223485009032396,0.06309776666666667,1.3292057391304346,2118368,1379840
frozenset({1379840}),frozenset({2118368}),0.5256666666666666,0.5371,0.3454333333333333,0.6571337983512999,1.223485009032396,0.06309776666666667,1.3500893286480486,1379840,2118368
frozenset({2118592}),frozenset({1379840}),0.5501666666666667,0.5256666666666666,0.35336666666666666,0.6422902150863374,1.2218583673170655,0.06416238888888892,1.326028398825655,2118592,1379840
frozenset({1379840}),frozenset({2118592}),0.5256666666666666,0.5501666666666667,0.35336666666666666,0.6722257450856056,1.2218583673170655,0.06416238888888892,1.3723876313922745,1379840,2118592
frozenset({1650992}),frozenset({1668240}),0.6576333333333333,0.4409666666666667,0.3116,0.4738202645851285,1.074503585876019,0.02160562111111114,1.0624379764313006,1650992,1668240
frozenset({1668240}),frozenset({1650992}),0.4409666666666667,0.6576333333333333,0.3116,0.7066293748582659,1.074503585876019,0.02160562111111114,1.1670107274757366,1668240,1650992
frozenset({1650992}),frozenset({1681904}),0.6576333333333333,0.6661333333333334,0.4971333333333333,0.7559430280298038,1.1348223999646774,0.05906184888888888,1.3679865974385599,1650992,1681904
frozenset({1681904}),frozenset({1650992}),0.6661333333333334,0.6576333333333333,0.4971333333333333,0.746297037630104,1.1348223999646774,0.05906184888888888,1.3494783957922418,1681904,1650992
frozenset({1650992}),frozenset({1683024}),0.6576333333333333,0.5378666666666667,0.42506666666666665,0.6463581529727812,1.2017070270936685,0.07134761777777776,1.306783507715828,1650992,1683024
frozenset({1683024}),frozenset({1650992}),0.5378666666666667,0.6576333333333333,0.42506666666666665,0.7902825979176995,1.2017070270936685,0.07134761777777776,1.6325143420015757,1683024,1650992
frozenset({1650992}),frozenset({1683136}),0.6576333333333333,0.49146666666666666,0.36206666666666665,0.550560089208779,1.1202389226982752,0.038861804444444425,1.1314823653246118,1650992,1683136
frozenset({1683136}),frozenset({1650992}),0.49146666666666666,0.6576333333333333,0.36206666666666665,0.736706456863809,1.1202389226982752,0.038861804444444425,1.3003230637128629,1683136,1650992
frozenset({1650992}),frozenset({1683248}),0.6576333333333333,0.38853333333333334,0.3011333333333333,0.4579046074306858,1.1785465187817925,0.045620862222222225,1.127968757986598,1650992,1683248
frozenset({1683248}),frozenset({1650992}),0.38853333333333334,0.6576333333333333,0.3011333333333333,0.7750514756348661,1.1785465187817925,0.045620862222222225,1.5219778286295447,1683248,1650992
frozenset({1650992}),frozenset({1683696}),0.6576333333333333,0.6106333333333334,0.4588333333333333,0.6977038876780374,1.1425905688269622,0.0572604988888889,1.2880306785155373,1650992,1683696
frozenset({1683696}),frozenset({1650992}),0.6106333333333334,0.6576333333333333,0.4588333333333333,0.7514056444129046,1.1425905688269622,0.0572604988888889,1.3772101376079635,1683696,1650992
frozenset({1650992}),frozenset({1683808}),0.6576333333333333,0.5381,0.4219333333333333,0.6415935931876933,1.192331524229127,0.06806083666666668,1.2887604440673173,1650992,1683808
frozenset({1683808}),frozenset({1650992}),0.5381,0.6576333333333333,0.4219333333333333,0.7841169547172149,1.192331524229127,0.06806083666666668,1.585889555236729,1683808,1650992
frozenset({1650992}),frozenset({1684256}),0.6576333333333333,0.5889,0.4593,0.6984135029651782,1.185962817057528,0.07201973,1.3631246890756306,1650992,1684256
frozenset({1684256}),frozenset({1650992}),0.5889,0.6576333333333333,0.4593,0.7799286805909322,1.1859628170575278,0.07201973,1.5557077932098766,1684256,1650992
frozenset({1650992}),frozenset({1685040}),0.6576333333333333,0.5440333333333334,0.43256666666666665,0.6577626843732577,1.2090484977144618,0.07479221222222221,1.3323113694707742,1650992,1685040
frozenset({1685040}),frozenset({1650992}),0.5440333333333334,0.6576333333333333,0.43256666666666665,0.7951105937136204,1.2090484977144615,0.07479221222222221,1.6709827651515143,1685040,1650992
frozenset({1650992}),frozenset({1685488}),0.6576333333333333,0.5023666666666666,0.38166666666666665,0.5803639312686908,1.1552596336049847,0.05129360111111114,1.1858688287635384,1650992,1685488
frozenset({1685488}),frozenset({1650992}),0.5023666666666666,0.6576333333333333,0.38166666666666665,0.7597372437130914,1.1552596336049847,0.05129360111111114,1.4249676976894046,1685488,1650992
frozenset({1650992}),frozenset({1686160}),0.6576333333333333,0.4907,0.38426666666666665,0.5843175021541893,1.1907835788754622,0.06156598999999996,1.2252139617119864,1650992,1686160
frozenset({1686160}),frozenset({1650992}),0.4907,0.6576333333333333,0.38426666666666665,0.7830989742544663,1.190783578875462,0.06156598999999996,1.578446507986219,1686160,1650992
frozenset({1650992}),frozenset({1687392}),0.6576333333333333,0.6092333333333333,0.47096666666666664,0.7161538851436972,1.1755001671122676,0.0703145188888889,1.376684922619048,1650992,1687392
frozenset({1687392}),frozenset({1650992}),0.6092333333333333,0.6576333333333333,0.47096666666666664,0.7730480932319309,1.1755001671122676,0.0703145188888889,1.5085428077788499,1687392,1650992
frozenset({1650992}),frozenset({1687504}),0.6576333333333333,0.6021666666666666,0.4705666666666667,0.7155456434690051,1.1882850431259426,0.0745617944444445,1.3985840757899743,1650992,1687504
frozenset({1687504}),frozenset({1650992}),0.6021666666666666,0.6576333333333333,0.4705666666666667,0.7814558538610574,1.1882850431259426,0.0745617944444445,1.5665789851401566,1687504,1650992
frozenset({1650992}),frozenset({1688064}),0.6576333333333333,0.8699333333333333,0.6260666666666667,0.9519995945055503,1.0943362646626755,0.05396950888888896,2.7096993312214046,1650992,1688064
frozenset({1688064}),frozenset({1650992}),0.8699333333333333,0.6576333333333333,0.6260666666666667,0.7196720055176642,1.0943362646626755,0.05396950888888896,1.2213074448696921,1688064,1650992
frozenset({1650992}),frozenset({1688960}),0.6576333333333333,0.7210333333333333,0.5192333333333333,0.7895483805565412,1.095023411617412,0.045057778888888955,1.3255619861913943,1650992,1688960
frozenset({1688960}),frozenset({1650992}),0.7210333333333333,0.6576333333333333,0.5192333333333333,0.7201238962599973,1.095023411617412,0.045057778888888955,1.2232793800242268,1688960,1650992
frozenset({1650992}),frozenset({1694000}),0.6576333333333333,0.4195333333333333,0.3132,0.4762532312838968,1.135197595623463,0.03730089555555555,1.1082964160134197,1650992,1694000
frozenset({1694000}),frozenset({1650992}),0.4195333333333333,0.6576333333333333,0.3132,0.7465437788018433,1.135197595623463,0.03730089555555555,1.3507921212121212,1694000,1650992
frozenset({1650992}),frozenset({1708336}),0.6576333333333333,0.43146666666666667,0.33063333333333333,0.5027624309392266,1.165240491979048,0.046886471111111105,1.1433837037037038,1650992,1708336
frozenset({1708336}),frozenset({1650992}),0.43146666666666667,0.6576333333333333,0.33063333333333333,0.7663009888751545,1.165240491979048,0.046886471111111105,1.464989796143251,1708336,1650992
frozenset({1650992}),frozenset({1709008}),0.6576333333333333,0.7364333333333334,0.5285333333333333,0.8036899994931319,1.0913275691302202,0.0442302255555555,1.3426043807556585,1650992,1709008
frozenset({1709008}),frozenset({1650992}),0.7364333333333334,0.6576333333333333,0.5285333333333333,0.7176933870456704,1.0913275691302202,0.0442302255555555,1.2127475976698194,1709008,1650992
frozenset({1650992}),frozenset({1902656}),0.6576333333333333,0.6296,0.4632,0.7043438592934259,1.1187164220035353,0.049154053333333336,1.2528067203840216,1650992,1902656
frozenset({1902656}),frozenset({1650992}),0.6296,0.6576333333333333,0.4632,0.735705209656925,1.1187164220035355,0.049154053333333336,1.295396955128205,1902656,1650992
frozenset({1650992}),frozenset({2118368}),0.6576333333333333,0.5371,0.41496666666666665,0.6310000506868062,1.1748278731834039,0.0617518033333333,1.254471717032967,1650992,2118368
frozenset({2118368}),frozenset({1650992}),0.5371,0.6576333333333333,0.41496666666666665,0.7726059703345124,1.1748278731834039,0.0617518033333333,1.505609743449781,2118368,1650992
frozenset({1650992}),frozenset({2118592}),0.6576333333333333,0.5501666666666667,0.4184333333333333,0.6362714785341376,1.156506777099311,0.05662539444444442,1.2367282376439985,1650992,2118592
frozenset({2118592}),frozenset({1650992}),0.5501666666666667,0.6576333333333333,0.4184333333333333,0.7605574068464102,1.156506777099311,0.05662539444444442,1.4298486420377867,2118592,1650992
frozenset({1650992}),frozenset({2515184}),0.6576333333333333,0.4509,0.30856666666666666,0.4692077652187136,1.040602717273705,0.012039796666666658,1.0344913961038962,1650992,2515184
frozenset({2515184}),frozenset({1650992}),0.4509,0.6576333333333333,0.30856666666666666,0.6843350336364308,1.040602717273705,0.012039796666666658,1.0845887353629975,2515184,1650992
frozenset({1681904}),frozenset({1666784}),0.6661333333333334,0.38006666666666666,0.30406666666666665,0.45646517213771015,1.2010134330934314,0.05089159111111108,1.1405586202663722,1681904,1666784
frozenset({1666784}),frozenset({1681904}),0.38006666666666666,0.6661333333333334,0.30406666666666665,0.8000350815646378,1.2010134330934314,0.05089159111111108,1.669626198830409,1666784,1681904
frozenset({1666784}),frozenset({1688064}),0.38006666666666666,0.8699333333333333,0.36073333333333335,0.9491317312752149,1.09103961752841,0.030100671111111144,2.5569312643678166,1666784,1688064
frozenset({1688064}),frozenset({1666784}),0.8699333333333333,0.38006666666666666,0.36073333333333335,0.41466779063529774,1.09103961752841,0.030100671111111144,1.0591136510430306,1688064,1666784
frozenset({1666784}),frozenset({1688960}),0.38006666666666666,0.7210333333333333,0.3143,0.8269601824241362,1.146909780995982,0.0402592644444445,1.6121530326068598,1666784,1688960
frozenset({1688960}),frozenset({1666784}),0.7210333333333333,0.38006666666666666,0.3143,0.43590217743053955,1.146909780995982,0.0402592644444445,1.0989819647052397,1688960,1666784
frozenset({1666784}),frozenset({1709008}),0.38006666666666666,0.7364333333333334,0.3091,0.8132783722154008,1.1043475836899481,0.029206237777777755,1.4115486770001562,1666784,1709008
frozenset({1709008}),frozenset({1666784}),0.7364333333333334,0.38006666666666666,0.3091,0.41972570497442624,1.1043475836899481,0.029206237777777755,1.0683453302132087,1709008,1666784
frozenset({1668240}),frozenset({1681904}),0.4409666666666667,0.6661333333333334,0.32033333333333336,0.7264343487791972,1.0905239423226538,0.026590737777777762,1.220426121396334,1668240,1681904
frozenset({1681904}),frozenset({1668240}),0.6661333333333334,0.4409666666666667,0.32033333333333336,0.480884707766213,1.090523942322654,0.026590737777777762,1.0768962920120815,1681904,1668240
frozenset({1668240}),frozenset({1688064}),0.4409666666666667,0.8699333333333333,0.4029333333333333,0.9137500944893793,1.05036795289606,0.019321731111111073,1.508020975752262,1668240,1688064
frozenset({1688064}),frozenset({1668240}),0.8699333333333333,0.4409666666666667,0.4029333333333333,0.463177254962066,1.05036795289606,0.019321731111111073,1.0413741565548418,1688064,1668240
frozenset({1668240}),frozenset({1688960}),0.4409666666666667,0.7210333333333333,0.34426666666666667,0.7807090483029707,1.0827641555678944,0.026315001111111125,1.272130311386878,1668240,1688960
frozenset({1688960}),frozenset({1668240}),0.7210333333333333,0.4409666666666667,0.34426666666666667,0.47746290046692247,1.0827641555678944,0.026315001111111125,1.0698442920758497,1688960,1668240
frozenset({1668240}),frozenset({1709008}),0.4409666666666667,0.7364333333333334,0.3753,0.8510847380754404,1.1556847029494957,0.050557447777777764,1.7699103722504235,1668240,1709008
frozenset({1709008}),frozenset({1668240}),0.7364333333333334,0.4409666666666667,0.3753,0.509618431177296,1.1556847029494959,0.050557447777777764,1.1399966248230877,1709008,1668240
frozenset({1668240}),frozenset({1902656}),0.4409666666666667,0.6296,0.3021333333333333,0.6851613878600045,1.0882487100698925,0.024500719999999976,1.1764757743097234,1668240,1902656
frozenset({1902656}),frozenset({1668240}),0.6296,0.4409666666666667,0.3021333333333333,0.47988140618382036,1.0882487100698928,0.024500719999999976,1.0748189739413678,1902656,1668240
frozenset({1688064}),frozenset({1670032}),0.8699333333333333,0.3823666666666667,0.3471,0.3989960916545329,1.0434907810684324,0.01446649111111109,1.0276694123897567,1688064,1670032
frozenset({1670032}),frozenset({1688064}),0.3823666666666667,0.8699333333333333,0.3471,0.9077674134774649,1.0434907810684324,0.01446649111111109,1.410202961562697,1670032,1688064
frozenset({1681344}),frozenset({1688064}),0.34926666666666667,0.8699333333333333,0.3329,0.953139912196984,1.0956470750980734,0.02906128444444439,2.7756385607603447,1681344,1688064
frozenset({1688064}),frozenset({1681344}),0.8699333333333333,0.34926666666666667,0.3329,0.3826730017625871,1.0956470750980734,0.02906128444444439,1.054114489065442,1688064,1681344
frozenset({1681904}),frozenset({1683024}),0.6661333333333334,0.5378666666666667,0.43383333333333335,0.6512710168134508,1.2108410079575807,0.07554241777777776,1.325193361075238,1681904,1683024
frozenset({1683024}),frozenset({1681904}),0.5378666666666667,0.6661333333333334,0.43383333333333335,0.8065815567674764,1.2108410079575807,0.07554241777777776,1.7261366655986328,1683024,1681904
frozenset({1681904}),frozenset({1683136}),0.6661333333333334,0.49146666666666666,0.3903,0.5859187349879903,1.19218407824469,0.06291767111111107,1.2281003182275927,1681904,1683136
frozenset({1683136}),frozenset({1681904}),0.49146666666666666,0.6661333333333334,0.3903,0.7941535539880629,1.19218407824469,0.06291767111111107,1.6219209665019214,1683136,1681904
frozenset({1681904}),frozenset({1683248}),0.6661333333333334,0.38853333333333334,0.3296,0.49479583666933546,1.2734964910844255,0.07078499555555556,1.2103357633386158,1681904,1683248
frozenset({1683248}),frozenset({1681904}),0.38853333333333334,0.6661333333333334,0.3296,0.8483184625943719,1.2734964910844253,0.07078499555555556,2.2011028657616882,1683248,1681904
frozenset({1681904}),frozenset({1683696}),0.6661333333333334,0.6106333333333334,0.49106666666666665,0.7371897518014411,1.207254356353689,0.08430344888888885,1.4815505458238127,1681904,1683696
frozenset({1683696}),frozenset({1681904}),0.6106333333333334,0.6661333333333334,0.49106666666666665,0.8041923685790708,1.2072543563536893,0.08430344888888885,1.7050748443453203,1683696,1681904
frozenset({1681904}),frozenset({1683808}),0.6661333333333334,0.5381,0.44093333333333334,0.661929543634908,1.2301236640678461,0.08248698666666665,1.3662832445233868,1681904,1683808
frozenset({1683808}),frozenset({1681904}),0.5381,0.6661333333333334,0.44093333333333334,0.8194263767577278,1.230123664067846,0.08248698666666665,1.848922675814751,1683808,1681904
frozenset({1681904}),frozenset({1684032}),0.6661333333333334,0.3678666666666667,0.30246666666666666,0.45406325060048036,1.2343147442927158,0.05741841777777776,1.1578874915979223,1681904,1684032
frozenset({1684032}),frozenset({1681904}),0.3678666666666667,0.6661333333333334,0.30246666666666666,0.8222181949981877,1.2343147442927156,0.05741841777777776,1.8779574583758065,1684032,1681904
frozenset({1681904}),frozenset({1684256}),0.6661333333333334,0.5889,0.46,0.6905524419535629,1.172614097391005,0.06771408000000001,1.3284965071151362,1681904,1684256
